,grid,n_agents,n_hectares
721,grid_-45.9_169.0,70,17589
722,grid_-38.7_176.0,183,20461
723,grid_-40.9_172.4,37,3419
724,grid_-42.5_172.0,8,1454
725,grid_-46.3_167.8,76,8030
726,grid_-37.7_176.2,9,233
727,grid_-43.7_172.4,436,15757
728,grid_-44.7_168.8,10,5347
729,grid_-40.1_176.4,295,30043
730,grid_-37.9_175.4,470,28953
731,grid_-44.9_170.8,130,24963
732,grid_-39.1_175.8,18,3181
733,grid_-44.9_170.6,76,22668
734,grid_-37.5_175.6,299,17876
735,grid_-37.3_174.6,468,17631
736,grid_-44.7_168.4,2,646
737,grid_-42.1_172.0,8,267
738,grid_-42.1_174.0,12,1937
